language,split,complete,expected,scored,correct,accuracy,ci_95_low,ci_95_high,interval_method,parse_failures,truncated,api_errors
ara,original,True,100,100,96,0.96,0.9016292856411208,0.9843366960084523,Wilson,0,0,0
ara,synthetic,False,2000,1991,1944,,,,template-cluster t interval,0,0,9
dan,original,False,100,99,96,,,,Wilson,0,0,1
dan,synthetic,False,2000,1990,1925,,,,template-cluster t interval,0,0,10
deu,original,True,100,100,99,0.99,0.9455138038212946,0.9982325679358593,Wilson,0,0,0
deu,synthetic,False,2000,1994,1922,,,,template-cluster t interval,0,0,6
eng,original,True,100,100,98,0.98,0.929988209271456,0.9944980324498376,Wilson,0,0,0
eng,synthetic,False,2000,1998,1973,,,,template-cluster t interval,0,0,2
est,original,True,100,100,99,0.99,0.9455138038212946,0.9982325679358593,Wilson,0,0,0
est,synthetic,False,2000,1978,1943,,,,template-cluster t interval,0,0,22
fra,original,True,100,100,99,0.99,0.9455138038212946,0.9982325679358593,Wilson,0,0,0
fra,synthetic,False,2000,1983,1884,,,,template-cluster t interval,0,0,17
hin,original,False,100,99,95,,,,Wilson,0,0,1
hin,synthetic,False,2000,1978,1915,,,,template-cluster t interval,0,0,22
isl,original,False,100,99,98,,,,Wilson,0,0,1
isl,synthetic,False,2000,1977,1908,,,,template-cluster t interval,0,0,23
ita,original,True,100,100,97,0.97,0.9154806357094724,0.9897454759759611,Wilson,0,0,0
ita,synthetic,False,2000,1978,1927,,,,template-cluster t interval,0,0,22
jpn,original,True,100,100,98,0.98,0.929988209271456,0.9944980324498376,Wilson,0,0,0
jpn,synthetic,False,2000,1948,1869,,,,template-cluster t interval,0,0,52
mar,original,True,100,100,98,0.98,0.929988209271456,0.9944980324498376,Wilson,0,0,0
mar,synthetic,False,2000,1975,1907,,,,template-cluster t interval,0,0,25
nld,original,True,100,100,97,0.97,0.9154806357094724,0.9897454759759611,Wilson,0,0,0
nld,synthetic,False,2000,1954,1861,,,,template-cluster t interval,0,0,46
rus,original,True,100,100,96,0.96,0.9016292856411208,0.9843366960084523,Wilson,0,0,0
rus,synthetic,False,2000,1987,1842,,,,template-cluster t interval,0,0,13
ukr,original,True,100,100,96,0.96,0.9016292856411208,0.9843366960084523,Wilson,0,0,0
ukr,synthetic,False,2000,1988,1908,,,,template-cluster t interval,0,0,12
zho,original,True,100,100,98,0.98,0.929988209271456,0.9944980324498376,Wilson,0,0,0
zho,synthetic,False,2000,1990,1957,,,,template-cluster t interval,0,0,10
